id,date,city,state,type,ideology,subideology,group,description,image
18137,12/31/2020,Leland,NC,White Supremacist Propaganda,Right Wing (White Supremacist),,Patriot Front,"Patriot Front, an alt right group, distributed propaganda that read: ""Revolution is tradition,"" ""For the nation against the state,"" ""America First,"" ""Reject poison,"" ""Not stolen conquered,"" ""Better dead than red"" and ""Life of our nation. Liberty of our people. Victory of the American spirit."" Other propaganda resembled a flag and had an embedded QR code directing users to Patriot Front’s website.",https://web.archive.org/web/20220520084048/https://www.adl.org/sites/default/files/2019-11/November%202019_PF%20Life%20of%20our%20nation_sample.jpg
18138,12/31/2020,Oneonta,AL,White Supremacist Propaganda,Right Wing (White Supremacist),,Patriot Front,"Patriot Front, an alt right group, distributed propaganda that read: ""America First"" and ""For the nation against the state.""",https://web.archive.org/web/20220520084048/https://www.adl.org/sites/default/files/2020-11/Patriot%20Front-2020-10-12-WA%2C%20Bremerton-OCT0094.jpg
18139,12/31/2020,Lake Havasu City,AZ,White Supremacist Propaganda,Right Wing (White Supremacist),,Patriot Front,"Patriot Front, an alt right group, distributed propaganda that read: ""Revolution is tradition,"" ""Reclaim America,"" ""America is not for sale"" and ""Better dead than red.""",https://web.archive.org/web/20220520084048/https://www.adl.org/sites/default/files/2019-03/PF%20reclaim%20America.jpg
18140,12/31/2020,Ortonville,MI,White Supremacist Propaganda,Right Wing (White Supremacist),,Patriot Front,"Patriot Front, an alt right group, distributed propaganda that read: ""America First"" and ""Not stolen conquered.""",https://web.archive.org/web/20220520084048/https://www.adl.org/sites/default/files/2019-03/PF%20Not%20Stolen%20Conquered.jpg
18141,12/31/2020,St. Albans,VT,White Supremacist Propaganda,Right Wing (White Supremacist),,Patriot Front,"Patriot Front, an alt right group, distributed propaganda that read: ""America First,"" ""Revolution is tradition"" and ""For the nation against the state."" Other propaganda resembled a flag and had an embedded QR code directing users to Patriot Front’s website.",https://web.archive.org/web/20220520084048/https://www.adl.org/sites/default/files/2019-06/4.3.2019%20Patriot%20Front%20QR%20code_sample_0.jpg
18142,12/31/2020,Broomfield,CO,White Supremacist Propaganda,Right Wing (White Supremacist),,Patriot Front,"Patriot Front, an alt right group, distributed propaganda that read: ""America First,"" ""United we stand,"" ""Our tradition is revolution"" and ""For the nation against the state.""",https://web.archive.org/web/20220520084048/https://www.adl.org/sites/default/files/2020-11/Patriot%20Front-2020-10-26-OH%2C%20Chillicothe-Telegram-OCT0320.jpg
18143,12/31/2020,Chandler,AZ,White Supremacist Propaganda,Right Wing (White Supremacist),,Patriot Front,"Patriot Front, an alt right group, distributed propaganda that read: ""America First,"" ""Our tradition is revolution"" and ""For the nation against the state.""",https://web.archive.org/web/20220520084048/https://www.adl.org/sites/default/files/2020-11/Patriot%20Front-2020-10-26-OH%2C%20Chillicothe-Telegram-OCT0320.jpg
18144,12/31/2020,Cedartown,GA,White Supremacist Propaganda,Right Wing (White Supremacist),,Patriot Front,"Patriot Front, an alt right group, distributed propaganda that read: ""America First"" and ""For the nation against the state."" Other propaganda resembled a flag and had an embedded QR code directing users to Patriot Front’s website.",https://web.archive.org/web/20220520084048/https://www.adl.org/sites/default/files/2019-06/4.3.2019%20Patriot%20Front%20QR%20code_sample_0.jpg
18145,12/31/2020,Eastland,TX,White Supremacist Propaganda,Right Wing (White Supremacist),,Patriot Front,"Patriot Front, an alt right group, distributed propaganda that read: ""Reclaim America,"" ""Not stolen conquered"" and ""Patriot Front.""",https://web.archive.org/web/20220520084048/https://www.adl.org/sites/default/files/2019-03/PF%20reclaim%20America.jpg
18146,12/31/2020,Madison,WI,White Supremacist Propaganda,Right Wing (White Supremacist),,Patriot Front,"Patriot Front, an alt right group, distributed propaganda that read: ""America First"" and ""For the nation against the state.""",https://web.archive.org/web/20220520084048/https://www.adl.org/sites/default/files/2020-11/Patriot%20Front-2020-10-12-WA%2C%20Bremerton-OCT0094.jpg
18147,12/31/2020,Round Rock,TX,White Supremacist Propaganda,Right Wing (White Supremacist),,Patriot Front,"Patriot Front, an alt right group, distributed propaganda that read: ""For the nation against the state"" and ""America is not for sale."" They also distributed propaganda that resembled a flag with an embedded QR code directing users to Patriot Front’s website.",https://web.archive.org/web/20220520084048/https://www.adl.org/sites/default/files/2019-06/4.3.2019%20Patriot%20Front%20QR%20code_sample_0.jpg
18148,12/31/2020,Northridge,CA,White Supremacist Propaganda,Right Wing (White Supremacist),,Patriot Front,"Patriot Front, an alt right group, distributed propaganda that read: ""Life Liberty Victory,"" ""America is not for sale,"" ""Revolution is tradition"" and ""Life of our nation. Liberty of our people. Victory of the American spirit.""",https://web.archive.org/web/20220520084048/https://www.adl.org/sites/default/files/2019-03/PF%20logo.jpg
